,Dataset,Model,Split,TN,FP,FN,TP,Accuracy,Precision,Recall,F1 Score
0,A1,Linear SVM,Validation,38,16,5,31,0.7666666666666667,0.6595744680851063,0.8611111111111112,0.7469879518072289
1,A1,Polynomial SVM,Validation,25,29,3,33,0.6444444444444445,0.532258064516129,0.9166666666666666,0.673469387755102
2,A1,RBF SVM,Validation,33,21,5,31,0.7111111111111111,0.5961538461538461,0.8611111111111112,0.7045454545454546
3,A1,Sigmoid SVM,Validation,37,17,11,25,0.6888888888888889,0.5952380952380952,0.6944444444444444,0.6410256410256411
4,A1,Logistic Regression,Validation,37,17,7,29,0.7333333333333333,0.6304347826086957,0.8055555555555556,0.7073170731707317
5,A1,Random Forrest,Validation,40,14,8,28,0.7555555555555555,0.6666666666666666,0.7777777777777778,0.717948717948718
6,A1,Gradient Boost,Validation,45,9,9,27,0.8,0.75,0.75,0.75
7,A1,KNN,Validation,33,21,9,27,0.6666666666666666,0.5625,0.75,0.6428571428571429
8,A1,Decision Tree,Validation,45,9,10,26,0.7888888888888889,0.7428571428571429,0.7222222222222222,0.7323943661971831
9,A1,Bagging,Validation,41,13,9,27,0.7555555555555555,0.675,0.75,0.7105263157894737
10,A1,Ada Boost,Validation,43,11,9,27,0.7777777777777778,0.7105263157894737,0.75,0.7297297297297297
11,A1,Navie Bayes,Validation,33,21,6,30,0.7,0.5882352941176471,0.8333333333333334,0.6896551724137931
12,A2,Linear SVM,Validation,37,17,14,22,0.6555555555555556,0.5641025641025641,0.6111111111111112,0.5866666666666667
13,A2,Polynomial SVM,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
14,A2,RBF SVM,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
15,A2,Sigmoid SVM,Validation,38,16,17,19,0.6333333333333333,0.5428571428571428,0.5277777777777778,0.5352112676056338
16,A2,Logistic Regression,Validation,37,17,14,22,0.6555555555555556,0.5641025641025641,0.6111111111111112,0.5866666666666667
17,A2,Random Forrest,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
18,A2,Gradient Boost,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
19,A2,KNN,Validation,37,17,12,24,0.6777777777777778,0.5853658536585366,0.6666666666666666,0.6233766233766234
20,A2,Decision Tree,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
21,A2,Bagging,Validation,30,24,11,25,0.6111111111111112,0.5102040816326531,0.6944444444444444,0.5882352941176471
22,A2,Ada Boost,Validation,37,17,13,23,0.6666666666666666,0.575,0.6388888888888888,0.6052631578947368
23,A2,Navie Bayes,Validation,12,42,9,27,0.43333333333333335,0.391304347826087,0.75,0.5142857142857142
24,B1,Linear SVM,Validation,42,12,7,29,0.7888888888888889,0.7073170731707317,0.8055555555555556,0.7532467532467533
25,B1,Polynomial SVM,Validation,27,27,4,32,0.6555555555555556,0.5423728813559322,0.8888888888888888,0.6736842105263158
26,B1,RBF SVM,Validation,35,19,7,29,0.7111111111111111,0.6041666666666666,0.8055555555555556,0.6904761904761905
27,B1,Sigmoid SVM,Validation,36,18,14,22,0.6444444444444445,0.55,0.6111111111111112,0.5789473684210527
28,B1,Logistic Regression,Validation,37,17,8,28,0.7222222222222222,0.6222222222222222,0.7777777777777778,0.691358024691358
29,B1,Random Forrest,Validation,39,15,10,26,0.7222222222222222,0.6341463414634146,0.7222222222222222,0.6753246753246753
30,B1,Gradient Boost,Validation,45,9,9,27,0.8,0.75,0.75,0.75
31,B1,KNN,Validation,27,27,8,28,0.6111111111111112,0.509090909090909,0.7777777777777778,0.6153846153846154
32,B1,Decision Tree,Validation,46,8,12,24,0.7777777777777778,0.75,0.6666666666666666,0.7058823529411765
33,B1,Bagging,Validation,42,12,11,25,0.7444444444444445,0.6756756756756757,0.6944444444444444,0.684931506849315
34,B1,Ada Boost,Validation,43,11,10,26,0.7666666666666667,0.7027027027027027,0.7222222222222222,0.7123287671232876
35,B1,Navie Bayes,Validation,34,20,8,28,0.6888888888888889,0.5833333333333334,0.7777777777777778,0.6666666666666666
36,B2,Linear SVM,Validation,37,17,14,22,0.6555555555555556,0.5641025641025641,0.6111111111111112,0.5866666666666667
37,B2,Polynomial SVM,Validation,40,14,18,18,0.6444444444444445,0.5625,0.5,0.5294117647058824
38,B2,RBF SVM,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
39,B2,Sigmoid SVM,Validation,30,24,17,19,0.5444444444444444,0.4418604651162791,0.5277777777777778,0.4810126582278481
40,B2,Logistic Regression,Validation,38,16,17,19,0.6333333333333333,0.5428571428571428,0.5277777777777778,0.5352112676056338
41,B2,Random Forrest,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
42,B2,Gradient Boost,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
43,B2,KNN,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
44,B2,Decision Tree,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
45,B2,Bagging,Validation,42,12,17,19,0.6777777777777778,0.6129032258064516,0.5277777777777778,0.5671641791044776
46,B2,Ada Boost,Validation,37,17,13,23,0.6666666666666666,0.575,0.6388888888888888,0.6052631578947368
47,B2,Navie Bayes,Validation,12,42,9,27,0.43333333333333335,0.391304347826087,0.75,0.5142857142857142
48,C,Linear SVM,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
49,C,Polynomial SVM,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
50,C,RBF SVM,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
51,C,Sigmoid SVM,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
52,C,Logistic Regression,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
53,C,Random Forrest,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
54,C,Gradient Boost,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
55,C,KNN,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
56,C,Decision Tree,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
57,C,Bagging,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
58,C,Ada Boost,Validation,30,24,15,21,0.5666666666666667,0.4666666666666667,0.5833333333333334,0.5185185185185185
59,C,Navie Bayes,Validation,16,38,14,22,0.4222222222222222,0.36666666666666664,0.6111111111111112,0.4583333333333333
60,D1,Linear SVM,Validation,42,12,7,29,0.7888888888888889,0.7073170731707317,0.8055555555555556,0.7532467532467533
61,D1,Polynomial SVM,Validation,27,27,4,32,0.6555555555555556,0.5423728813559322,0.8888888888888888,0.6736842105263158
62,D1,RBF SVM,Validation,35,19,7,29,0.7111111111111111,0.6041666666666666,0.8055555555555556,0.6904761904761905
63,D1,Sigmoid SVM,Validation,36,18,14,22,0.6444444444444445,0.55,0.6111111111111112,0.5789473684210527
64,D1,Logistic Regression,Validation,37,17,8,28,0.7222222222222222,0.6222222222222222,0.7777777777777778,0.691358024691358
65,D1,Random Forrest,Validation,36,18,7,29,0.7222222222222222,0.6170212765957447,0.8055555555555556,0.6987951807228916
66,D1,Gradient Boost,Validation,39,15,9,27,0.7333333333333333,0.6428571428571429,0.75,0.6923076923076923
67,D1,KNN,Validation,28,26,6,30,0.6444444444444445,0.5357142857142857,0.8333333333333334,0.6521739130434783
68,D1,Decision Tree,Validation,39,15,15,21,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334
